nhom,osm_id,ten,lat,lon
cong_vien,way/569804205,Sân Cây Đề,21.0175095,105.7791971
cong_vien,way/569804207,Công viên Yên Hòa,21.0197261,105.7982889
cong_vien,way/570596477,Vườn hoa hồ Giảng Võ,21.0288174,105.8201019
cong_vien,way/576742583,Công viên Lý Thái Tổ,21.1131574,105.9563327
cong_vien,way/576742665,,21.1172623,105.9650137
cong_vien,way/577203325,Công viên vườn hoa Quy Chế,21.1188517,105.9642368
cong_vien,way/577203418,,21.1105827,105.9574578
cong_vien,way/579331961,,21.1695659,106.0749597
cong_vien,way/579334143,,21.1729635,106.058211
cong_vien,way/579334144,Vườn hoa Võ Cường số 2,21.1722185,106.0569398
cong_vien,way/579336298,Công viên Nguyễn Văn Cừ,21.1684943,106.0710777
cong_vien,way/579345022,,21.1731748,106.0747046
cong_vien,way/589969496,khu vui chơi giải trí công cộng,21.0040145,105.9352303
cong_vien,way/590074862,khu vui chơi giải trí công cộng,21.0042092,105.9342492
cong_vien,way/591023030,Vườn hoa Thanh Xuân Bắc,20.9912611,105.7996582
cong_vien,way/591449517,Vườn hoa Trần Hưng Đạo,20.8221587,105.3541463
cong_vien,way/613008802,Công viên Nam Hòa,20.6522356,106.054464
cong_vien,way/641380853,Công viên Nguyễn Khuyến,20.5360414,105.9158705
cong_vien,way/641387015,Công viên Nam Cao,20.5453574,105.9136798
cong_vien,way/641387022,,20.5334361,105.9225951
cong_vien,way/641389953,,20.5275295,105.9013627
cong_vien,way/641389954,,20.5251291,105.9048643
cong_vien,way/641389955,,20.5244607,105.9040379
cong_vien,way/641389956,,20.5235569,105.9029782
cong_vien,way/641389957,,20.5228363,105.9021204
cong_vien,way/642231203,Vườn hoa Tây Sơn,21.0265997,105.8503352
cong_vien,way/642301575,,21.0481916,105.9051239
cong_vien,way/646860265,Công viên Phù Khê,21.1475175,105.9306271
